eco:b0001	K08278
eco:b1749	K01142
eco:b1754	K05777
eco:b1755	K05778
eco:b1756	K05779
eco:b1757	K21028
eco:b1759	K08320
eco:b1761	K00262
eco:b1763	K03169
eco:b1764	K01008
eco:b1766	K04773
eco:b1767	K01424
eco:b1768	K08281
eco:b1769	K08369
eco:b1771	K18471
eco:b1775	K08369
eco:b1777	K09916
eco:b1778	K07305
eco:b1779	K00134
eco:b1780	K01792
eco:b1782	K07274
eco:b1783	K07180
eco:b1784	K09786
eco:b1787	K19055
eco:b1791	K03449
eco:b1793	K09712
eco:b1794	K13069
eco:b1798	K11250
eco:b1799	K16135
eco:b1800	K07246
eco:b1801	K03451
eco:b1802	K22443
eco:b1803	K22444
eco:b1804	K03684
eco:b1805	K01897
eco:b1806	K07285
eco:b1807	K14742
eco:b1808	K03722
eco:b1811	K09917
eco:b1812	K01665
eco:b1814	K01752
eco:b1815	K21090
eco:b1817	K02794
eco:b1818	K02795
eco:b1819	K02796
eco:b1821	K23242
eco:b1822	K00563
eco:b1823	K03704
eco:b1827	K19333
eco:b1828	K08169
eco:b1829	K03799
eco:b1830	K03797
eco:b1831	K03607
eco:b1832	K08968
eco:b1833	K03808
eco:b1835	K11392
eco:b1838	K07313
eco:b1840	K07245
eco:b1841	K07156
eco:b1842	K02345
eco:b1844	K10857
eco:b1845	K01354
eco:b1848	K09918
eco:b1849	K08289
eco:b1850	K01625
eco:b1851	K01690
eco:b1852	K00036
eco:b1853	K19337
eco:b1854	K00873
eco:b1855	K02560
eco:b1856	K19304
eco:b1857	K09815
eco:b1858	K09817
eco:b1859	K09816
eco:b1860	K03551
eco:b1861	K03550
eco:b1863	K01159
eco:b1865	K08310
eco:b1866	K01876
eco:b1869	K07136
eco:b1870	K15256
eco:b1871	K15257
eco:b1872	K07812
eco:b1873	K07821
eco:b1874	K06201
eco:b1875	K09907
eco:b1876	K01887
eco:b1878	K03516
eco:b1879	K02400
eco:b1880	K02401
eco:b1881	K03414
eco:b1882	K03413
eco:b1883	K03412
eco:b1884	K00575
eco:b1885	K05877
eco:b1886	K05875
eco:b1887	K03408
eco:b1888	K03407
eco:b1889	K02557
eco:b1890	K02556
eco:b1891	K02402
eco:b1892	K02403
eco:b1893	K07480
eco:b1895	K14064
eco:b1896	K00697
eco:b1897	K01087
eco:b1900	K10539
eco:b1901	K10537
eco:b1902	K02255
eco:b1905	K02217
eco:b1907	K03834
eco:b1908	K07039
eco:b1909	K14228
eco:b1910	K14222
eco:b1911	K14225
eco:b1912	K00995
eco:b1913	K03703
eco:b1914	K07689
eco:b1916	K07782
eco:b1917	K10010
eco:b1918	K10009
eco:b1919	K05396
eco:b1920	K02424
eco:b1921	K02425
eco:b1922	K02405
eco:b1923	K02406
eco:b1924	K02407
eco:b1925	K02422
eco:b1926	K02423
eco:b1927	K01176
eco:b1929	K07112
eco:b1932	K03829
eco:b1937	K02408
eco:b1938	K02409
eco:b1939	K02410
eco:b1940	K02411
eco:b1941	K02412
eco:b1942	K02413
eco:b1943	K02414
eco:b1944	K02415
eco:b1945	K02416
eco:b1946	K02417
eco:b1947	K02418
eco:b1948	K02419
eco:b1949	K02420
eco:b1950	K02421
eco:b1951	K07781
eco:b1954	K18502
eco:b1955	K07026
eco:b1956	K21085
eco:b1958	K09781
eco:b1960	K07458
eco:b1961	K00558
eco:b1962	K06950
eco:b1967	K05523
eco:b1968	K02484
eco:b1969	K02483
eco:b1970	K07127
eco:b1971	K07147
eco:b1972	K17247
eco:b1975	K14233
eco:b1976	K09933
eco:b1977	K14220
eco:b1978	K13735
eco:b1981	K08172
eco:b1982	K01241
eco:b1984	K14220
eco:b1986	K14220
eco:b1987	K13635
eco:b1988	K19338
eco:b1989	K14220
eco:b1990	K16291
eco:b1991	K00768
eco:b1992	K02233
eco:b1993	K02231
eco:b1994	K07481
eco:b1996	K07497
eco:b1997	K07483
eco:b2000	K12687
eco:b2002	K03630
eco:b2004	K18838
eco:b2005	K18837
eco:b2007	K09802
eco:b2009	K07470
eco:b2010	K07258
eco:b2011	K01141
eco:b2013	K07112
eco:b2017	K19159
eco:b2019	K00765
eco:b2020	K00013
eco:b2021	K00817
eco:b2022	K01089
eco:b2023	K02501
eco:b2024	K01814
eco:b2025	K02500
eco:b2026	K11755
eco:b2027	K05789
eco:b2028	K00012
eco:b2029	K00033
eco:b2030	K07481
eco:b2032	K23073
eco:b2033	K08280
eco:b2034	K23072
eco:b2035	K13008
eco:b2036	K01854
eco:b2037	K18799
eco:b2038	K01790
eco:b2039	K00973
eco:b2040	K00067
eco:b2041	K01710
eco:b2042	K00963
eco:b2043	K16711
eco:b2044	K16703
eco:b2045	K16710
eco:b2046	K16695
eco:b2047	K03606
eco:b2048	K01840
eco:b2049	K00971
eco:b2050	K03208
eco:b2051	K03207
eco:b2052	K02377
eco:b2053	K01711
eco:b2054	K03818
eco:b2055	K13683
eco:b2056	K13620
eco:b2057	K13684
eco:b2058	K03819
eco:b2060	K16692
eco:b2061	K25307
eco:b2062	K01991
eco:b2064	K07289
eco:b2065	K01494
eco:b2066	K00876
eco:b2067	K21084
eco:b2068	K01247
eco:b2069	K04046
eco:b2074	K07799
eco:b2075	K07788
eco:b2076	K07789
eco:b2077	K18326
eco:b2078	K07642
eco:b2079	K07664
eco:b2080	K09946
eco:b2081	K08303
eco:b2088	K07483
eco:b2089	K07497
eco:b2091	K00094
eco:b2093	K02774
eco:b2094	K02773
eco:b2095	K16371
eco:b2096	K08302
eco:b2097	K11645
eco:b2102	K07273
eco:b2103	K00941
eco:b2104	K00878
eco:b2105	K23240
eco:b2106	K08970
eco:b2107	K23243
eco:b2109	K07347
eco:b2113	K03593
eco:b2114	K01874
eco:b2125	K02477
eco:b2126	K02478
eco:b2127	K21089
eco:b2128	K05846
eco:b2129	K05847
eco:b2130	K05846
eco:b2131	K05845
eco:b2132	K05349
eco:b2133	K03777
eco:b2134	K07262
eco:b2140	K05541
eco:b2141	K06518
eco:b2143	K01489
eco:b2144	K03748
eco:b2146	K17722
eco:b2147	K17723
eco:b2148	K10541
eco:b2149	K10542
eco:b2150	K10540
eco:b2151	K02529
eco:b2152	K07148
eco:b2153	K01495
eco:b2154	K01070
eco:b2155	K16089
eco:b2156	K11733
eco:b2159	K01151
eco:b2161	K16325
eco:b2162	K10213
eco:b2163	K16326
eco:b2164	K16324
eco:b2165	K16329
eco:b2166	K16328
eco:b2167	K02770
eco:b2168	K00882
eco:b2169	K11183
eco:b2170	K03291
eco:b2171	K02356
eco:b2174	K19803
eco:b2175	K13694
eco:b2177	K13893
eco:b2178	K13894
eco:b2179	K13895
eco:b2180	K13896
eco:b2182	K07552
eco:b2183	K06183
eco:b2184	K19789
eco:b2185	K02897
eco:b2186	K06899
eco:b2187	K09904
eco:b2188	K07014
eco:b2189	K14232
eco:b2192	K07481
eco:b2193	K07685
eco:b2194	K02200
eco:b2195	K02199
eco:b2196	K02198
eco:b2197	K02197
eco:b2198	K02196
eco:b2199	K02195
eco:b2200	K02194
eco:b2201	K02193
eco:b2202	K02569
eco:b2203	K02568
eco:b2204	K02574
eco:b2205	K02573
eco:b2206	K02567
eco:b2207	K02570
eco:b2208	K02572
eco:b2209	K08276
eco:b2210	K00116
eco:b2211	K06159
eco:b2212	K03919
eco:b2213	K10778
eco:b2214	K03734
eco:b2215	K09475
eco:b2216	K07676
eco:b2217	K07687
eco:b2218	K07677
eco:b2219	K07710
eco:b2220	K07714
eco:b2221	K01034
eco:b2222	K01035
eco:b2223	K02106
eco:b2224	K00626
eco:b2229	K09934
eco:b2231	K02469
eco:b2232	K00568
eco:b2233	K07279
eco:b2234	K00525
eco:b2235	K00526
eco:b2236	K11107
eco:b2239	K01126
eco:b2240	K02445
eco:b2241	K00111
eco:b2242	K00112
eco:b2243	K00113
eco:b2244	K24090
eco:b2245	K12660
eco:b2247	K12661
eco:b2251	K12944
eco:b2253	K07806
eco:b2254	K10012
eco:b2255	K10011
eco:b2256	K13014
eco:b2257	K07264
eco:b2258	K12963
eco:b2259	K19238
eco:b2260	K01911
eco:b2261	K02549
eco:b2262	K01661
eco:b2263	K08680
eco:b2264	K02551
eco:b2265	K02552
eco:b2266	K05594
eco:b2267	K02348
eco:b2268	K00784
eco:b2269	K18015
eco:b2270	K07114
eco:b2276	K00343
eco:b2277	K00342
eco:b2278	K00341
eco:b2279	K00340
eco:b2280	K00339
eco:b2281	K00338
eco:b2282	K00337
eco:b2283	K00336
eco:b2284	K00335
eco:b2285	K00334
eco:b2286	K13378
eco:b2287	K00331
eco:b2288	K00330
eco:b2290	K14260
eco:b2291	K08722
eco:b2293	K19270
eco:b2294	K09161
eco:b2295	K09899
eco:b2296	K00925
eco:b2297	K13788
eco:b2300	K07095
eco:b2301	K00799
eco:b2302	K11209
eco:b2303	K07589
eco:b2304	K07071
eco:b2305	K24087
eco:b2306	K10017
eco:b2307	K10015
eco:b2308	K10016
eco:b2309	K10014
eco:b2310	K10013
eco:b2311	K03186
eco:b2312	K00764
eco:b2313	K03558
eco:b2314	K03749
eco:b2315	K11754
eco:b2316	K01963
eco:b2317	K03975
eco:b2318	K06173
eco:b2320	K03473
eco:b2323	K00647
eco:b2324	K15461
eco:b2326	K09906
eco:b2327	K07090
eco:b2328	K07261
eco:b2329	K01736
eco:b2330	K07320
eco:b2336	K12519
eco:b2340	K08296
eco:b2341	K01782
eco:b2342	K00632
eco:b2344	K06076
eco:b2346	K04754
eco:b2347	K21990
eco:b2348	K14219
eco:b2351	K20534
eco:b2361	K06952
eco:b2364	K13636
eco:b2365	K13629
eco:b2366	K01753
eco:b2367	K07786
eco:b2368	K07797
eco:b2369	K07690
eco:b2370	K07679
eco:b2371	K18702
eco:b2372	K13936
eco:b2373	K01577
eco:b2374	K07749
eco:b2378	K12974
eco:b2379	K14261
eco:b2380	K02478
eco:b2381	K02477
eco:b2383	K23991
eco:b2385	K08326
eco:b2386	K11203
eco:b2387	K11202
eco:b2388	K00845
eco:b2392	K03322
eco:b2393	K11535
eco:b2396	K14218
eco:b2397	K14218
eco:b2400	K01885
eco:b2401	K14237
eco:b2402	K14237
eco:b2403	K14237
eco:b2404	K14229
eco:b2406	K11537
eco:b2407	K03815
eco:b2410	K14347
eco:b2411	K01972
eco:b2412	K03528
eco:b2413	K06203
eco:b2414	K01738
eco:b2415	K02784
eco:b2416	K08483
eco:b2417	K02777
eco:b2418	K00868
eco:b2421	K12339
eco:b2422	K02045
eco:b2423	K02047
eco:b2424	K02046
eco:b2425	K02048
eco:b2427	K15835
eco:b2428	K07106
eco:b2429	K11192
eco:b2430	K21469
eco:b2431	K07223
eco:b2435	K01448
eco:b2436	K00228
eco:b2437	K04033
eco:b2438	K04025
eco:b2439	K04026
eco:b2440	K03736
eco:b2441	K03735
eco:b2451	K04019
eco:b2452	K04023
eco:b2453	K04022
eco:b2454	K04024
eco:b2455	K04021
eco:b2456	K04028
eco:b2457	K04027
eco:b2458	K04020
eco:b2459	K04032
eco:b2460	K04030
eco:b2461	K04029
eco:b2462	K04031
eco:b2463	K00029
eco:b2464	K00616
eco:b2465	K00615
eco:b2467	K12945
eco:b2469	K07674
eco:b2470	K18324
eco:b2472	K01439
eco:b2473	K06999
eco:b2474	K06957
eco:b2475	K07054
eco:b2476	K01923
eco:b2477	K07287
eco:b2478	K01714
eco:b2479	K03567
eco:b2480	K03564
eco:b2481	K12136
eco:b2482	K12137
eco:b2483	K12138
eco:b2484	K12139
eco:b2485	K12140
eco:b2486	K12141
eco:b2487	K12142
eco:b2488	K12143
eco:b2489	K12144
eco:b2490	K12145
eco:b2491	K12146
eco:b2492	K03459
eco:b2493	K03548
eco:b2494	K01423
eco:b2495	K00537
eco:b2496	K10763
eco:b2497	K02824
eco:b2498	K00761
eco:b2499	K01933
eco:b2500	K11175
eco:b2501	K00937
eco:b2502	K01524
eco:b2507	K01951
eco:b2508	K00088
eco:b2509	K03601
eco:b2511	K03977
eco:b2512	K17713
eco:b2514	K01892
eco:b2515	K03526
eco:b2516	K15539
eco:b2517	K06941
eco:b2518	K00940
eco:b2519	K05367
eco:b2520	K06894
eco:b2521	K01011
eco:b2523	K07751
eco:b2525	K04755
eco:b2526	K04044
eco:b2527	K04082
eco:b2528	K13628
eco:b2529	K04488
eco:b2530	K04487
eco:b2531	K13643
eco:b2532	K15396
eco:b2533	K01092
eco:b2534	K06889
eco:b2536	K05820
eco:b2537	K05817
eco:b2538	K05708
eco:b2539	K05709
eco:b2540	K05710
eco:b2541	K05711
eco:b2542	K00529
eco:b2543	K15977
eco:b2546	K23546
eco:b2547	K23547
eco:b2548	K23545
eco:b2551	K00600
eco:b2552	K05916
eco:b2553	K04751
eco:b2554	K07715
eco:b2556	K07711
eco:b2557	K01952
eco:b2558	K18691
eco:b2559	K11991
eco:b2560	K18697
eco:b2563	K00997
eco:b2564	K03474
eco:b2565	K03584
eco:b2566	K03595
eco:b2567	K03685
eco:b2568	K03100
eco:b2569	K03596
eco:b2570	K03803
eco:b2571	K03598
eco:b2572	K03597
eco:b2573	K03088
eco:b2574	K00278
eco:b2575	K15460
eco:b2576	K05590
eco:b2578	K11249
eco:b2579	K06866
eco:b2580	K03648
eco:b2581	K03214
eco:b2582	K03672
eco:b2583	K05812
eco:b2584	K09181
eco:b2585	K00998
eco:b2586	K05811
eco:b2587	K03761
eco:b2588	K01985
eco:b2589	K01980
eco:b2590	K14224
eco:b2591	K01977
eco:b2592	K03695
eco:b2593	K05810
eco:b2594	K06180
eco:b2595	K05807
eco:b2597	K05809
eco:b2599	K14170
eco:b2600	K14187
eco:b2601	K01626
eco:b2604	K21021
eco:b2606	K02884
eco:b2607	K00554
eco:b2608	K02860
eco:b2609	K02959
eco:b2610	K03106
eco:b2614	K03687
eco:b2615	K00858
eco:b2616	K03631
eco:b2617	K06186
eco:b2618	K09801
eco:b2620	K03664
eco:b2621	K15035
eco:b2624	K07733
eco:b2632	K06946
eco:b2638	K00537
eco:b2644	K03630
eco:b2645	K18838
eco:b2646	K18837
eco:b2652	K14230
eco:b2659	K15737
eco:b2660	K15736
eco:b2661	K00135
eco:b2662	K07250
eco:b2663	K11735
eco:b2664	K15735
eco:b2669	K11685
eco:b2673	K06191
eco:b2674	K03647
eco:b2675	K00525
eco:b2676	K00526
eco:b2677	K02000
eco:b2678	K02001
eco:b2679	K02002
eco:b2684	K15974
eco:b2685	K03543
eco:b2686	K03446
eco:b2687	K07173
eco:b2688	K01919
eco:b2691	K14219
eco:b2692	K14219
eco:b2693	K14219
eco:b2694	K14219
eco:b2695	K14233
eco:b2696	K03563
eco:b2697	K01872
eco:b2698	K03565
eco:b2699	K03553
eco:b2700	K03743
eco:b2701	K08305
eco:b2702	K02783
eco:b2703	K02782
eco:b2704	K02781
eco:b2705	K00068
eco:b2706	K02466
eco:b2707	K02468
eco:b2708	K02467
eco:b2709	K12266
eco:b2710	K12264
eco:b2711	K12265
eco:b2712	K04656
eco:b2713	K05796
eco:b2714	K03487
eco:b2715	K02753
eco:b2716	K01223
eco:b2717	K08315
eco:b2718	K15834
eco:b2719	K15832
eco:b2720	K15831
eco:b2721	K15830
eco:b2722	K15829
eco:b2723	K15828
eco:b2724	K15827
eco:b2725	K15833
eco:b2726	K04651
eco:b2727	K04652
eco:b2728	K04653
eco:b2729	K04654
eco:b2730	K04655
eco:b2731	K15836
eco:b2733	K03555
eco:b2734	K07314
eco:b2736	K08319
eco:b2737	K21948
eco:b2738	K22130
eco:b2739	K22131
eco:b2740	K03299
eco:b2741	K03087
eco:b2742	K06194
eco:b2743	K00573
eco:b2744	K03787
eco:b2745	K06176
eco:b2746	K01770
eco:b2747	K00991
eco:b2748	K05589
eco:b2750	K00860
eco:b2751	K00956
eco:b2752	K00957
eco:b2753	K09612
eco:b2754	K09951
eco:b2755	K15342
eco:b2756	K19126
eco:b2757	K19125
eco:b2758	K19124
eco:b2759	K19046
eco:b2760	K19123
eco:b2761	K07012
eco:b2762	K00390
eco:b2763	K00381
eco:b2764	K00380
eco:b2765	K01737
eco:b2766	K00313
eco:b2777	K10026
eco:b2778	K06872
eco:b2779	K01689
eco:b2780	K01937
eco:b2781	K04765
eco:b2782	K07171
eco:b2783	K07172
eco:b2784	K00951
eco:b2785	K03215
eco:b2786	K07678
eco:b2787	K01706
eco:b2788	K13918
eco:b2789	K03535
eco:b2791	K06175
eco:b2793	K15723
eco:b2794	K06879
eco:b2795	K06966
eco:b2796	K03837
eco:b2797	K01752
eco:b2798	K01146
eco:b2799	K00048
eco:b2800	K01628
eco:b2801	K02429
eco:b2802	K01818
eco:b2803	K00879
eco:b2804	K02431
eco:b2805	K02430
eco:b2806	K06968
eco:b2808	K03566
eco:b2810	K01766
eco:b2811	K02426
eco:b2812	K22132
eco:b2813	K08304
eco:b2814	K14230
eco:b2815	K14230
eco:b2816	K14230
eco:b2817	K01448
eco:b2818	K14682
eco:b2819	K03581
eco:b2820	K03582
eco:b2821	K01407
eco:b2822	K03583
eco:b2823	K02681
eco:b2825	K02680
eco:b2826	K02679
eco:b2827	K00560
eco:b2828	K13292
eco:b2829	K08484
eco:b2830	K08311
eco:b2831	K03573
eco:b2835	K08227
eco:b2836	K05939
eco:b2837	K02529
eco:b2838	K01586
eco:b2840	K25316
eco:b2841	K02100
eco:b2842	K00065
eco:b2843	K01815
eco:b2844	K00626
eco:b2852	K22486
eco:b2860	K07497
eco:b2861	K07483
eco:b2864	K14225
eco:b2865	K12943
eco:b2866	K00087
eco:b2867	K13479
eco:b2868	K13480
eco:b2871	K01751
eco:b2873	K01464
eco:b2874	K00926
eco:b2875	K07402
eco:b2877	K07141
eco:b2878	K12527
eco:b2880	K12529
eco:b2881	K12528
eco:b2882	K16346
eco:b2883	K01487
eco:b2888	K24206
eco:b2889	K01823
eco:b2890	K04567
eco:b2891	K02836
eco:b2892	K07462
eco:b2893	K03981
eco:b2894	K04763
eco:b2895	K03840
eco:b2896	K19168
eco:b2897	K09159
eco:b2898	K06980
eco:b2899	K11068
eco:b2900	K09900
eco:b2901	K01223
eco:b2903	K00281
eco:b2904	K02437
eco:b2905	K00605
eco:b2906	K18800
eco:b2907	K03185
eco:b2908	K01262
eco:b2909	K09895
eco:b2910	K09888
eco:b2912	K01934
eco:b2913	K00058
eco:b2914	K01807
eco:b2916	K05596
eco:b2917	K01847
eco:b2918	K07588
eco:b2919	K11264
eco:b2920	K22214
eco:b2922	K09807
eco:b2923	K06895
eco:b2924	K03442
eco:b2925	K01624
eco:b2926	K00927
eco:b2927	K03472
eco:b2928	K02173
eco:b2929	K01774
eco:b2930	K02446
eco:b2933	K02800
eco:b2934	K02798
eco:b2935	K00615
eco:b2936	K07387
eco:b2937	K01480
eco:b2938	K01585
eco:b2942	K00789
eco:b2943	K08137
eco:b2944	K02742
eco:b2945	K01150
eco:b2946	K09761
eco:b2947	K01920
eco:b2948	K07735
eco:b2949	K07447
eco:b2950	K02669
eco:b2951	K06997
eco:b2952	K02221
eco:b2953	K09131
eco:b2954	K02428
eco:b2957	K01424
eco:b2959	K09923
eco:b2960	K03439
eco:b2961	K03575
eco:b2963	K08306
eco:b2964	K03289
eco:b2965	K01581
eco:b2966	K07150
eco:b2967	K14231
eco:b2968	K02462
eco:b2972	K02654
eco:b2975	K02550
eco:b2976	K01638
eco:b2977	K11477
eco:b2979	K00104
eco:b2980	K11474
eco:b2982	K07481
eco:b2987	K16322
eco:b2988	K01460
eco:b2989	K11209
eco:b2990	K04653
eco:b2991	K04651
eco:b2993	K03605
eco:b2994	K06281
eco:b2997	K06282
eco:b3001	K19265
eco:b3005	K03559
eco:b3006	K03561
eco:b3008	K01760
eco:b3011	K08325
eco:b3012	K06221
eco:b3017	K04753
eco:b3018	K00655
eco:b3019	K02621
eco:b3020	K02035
eco:b3021	K13655
eco:b3022	K13651
eco:b3023	K07471
eco:b3025	K07666
eco:b3026	K07645
eco:b3028	K03923
eco:b3030	K02622
eco:b3031	K07000
eco:b3032	K03651
eco:b3033	K09920
eco:b3034	K01515
eco:b3035	K12340
eco:b3039	K15777
eco:b3040	K07238
eco:b3041	K02858
eco:b3042	K09806
eco:b3044	K07483
eco:b3045	K07497
eco:b3049	K22720
eco:b3052	K03272
eco:b3053	K00982
eco:b3054	K18446
eco:b3055	K07184
eco:b3056	K00974
eco:b3057	K06153
eco:b3058	K01633
eco:b3059	K08591
eco:b3060	K21742
eco:b3061	K03779
eco:b3062	K03780
eco:b3063	K11106
eco:b3064	K01409
eco:b3065	K02970
eco:b3066	K02316
eco:b3067	K03086
eco:b3068	K03649
eco:b3069	K14230
eco:b3070	K07229
eco:b3072	K03776
eco:b3073	K09251
eco:b3074	K06878
eco:b3075	K12113
eco:b3076	K12111
eco:b3077	K12112
eco:b3080	K03931
eco:b3081	K00219
eco:b3082	K18831
eco:b3083	K19166
eco:b3084	K11391
eco:b3085	K07043
eco:b3089	K07862
eco:b3091	K01685
eco:b3092	K01812
eco:b3093	K08191
eco:b3094	K19775
eco:b3101	K15977
eco:b3102	K07393
eco:b3113	K09022
eco:b3114	K00656
eco:b3115	K00932
eco:b3116	K03838
eco:b3117	K01754
eco:b3118	K07592
eco:b3119	K07591
eco:b3123	K01978
eco:b3124	K00865
eco:b3125	K00042
eco:b3126	K01630
eco:b3127	K12299
eco:b3128	K01708
eco:b3129	K19156
eco:b3130	K19155
eco:b3131	K02081
eco:b3132	K16371
eco:b3133	K02745
eco:b3136	K02082
eco:b3137	K08302
eco:b3138	K10984
eco:b3139	K10985
eco:b3140	K10986
eco:b3141	K02080
eco:b3144	K07347
eco:b3146	K07056
eco:b3147	K07121
eco:b3148	K07460
eco:b3149	K12961
eco:b3151	K07089
eco:b3153	K05520
eco:b3154	K09979
eco:b3155	K07461
eco:b3156	K03824
eco:b3157	K24843
eco:b3158	K24844
eco:b3159	K24845
eco:b3161	K03835
eco:b3162	K05592
eco:b3163	K05803
eco:b3164	K00962
eco:b3165	K02956
eco:b3166	K03177
eco:b3167	K02834
eco:b3168	K02519
eco:b3169	K02600
eco:b3170	K09748
eco:b3171	K14230
eco:b3172	K01940
eco:b3174	K14228
eco:b3175	K03075
eco:b3176	K03431
eco:b3177	K00796
eco:b3178	K03798
eco:b3179	K02427
eco:b3180	K07574
eco:b3181	K03624
eco:b3182	K07259
eco:b3183	K03979
eco:b3185	K02899
eco:b3186	K02888
eco:b3187	K02523
eco:b3188	K07724
eco:b3189	K00790
eco:b3191	K07122
eco:b3192	K07323
eco:b3193	K02067
eco:b3194	K02066
eco:b3195	K02065
eco:b3196	K07301
eco:b3197	K06041
eco:b3198	K03270
eco:b3199	K11719
eco:b3200	K09774
eco:b3201	K06861
eco:b3202	K03092
eco:b3203	K05808
eco:b3204	K02806
eco:b3205	K06958
eco:b3206	K08485
eco:b3208	K03814
eco:b3210	K07648
eco:b3211	K07139
eco:b3212	K00265
eco:b3213	K00266
eco:b3218	K07481
eco:b3222	K00885
eco:b3223	K01788
eco:b3224	K03290
eco:b3225	K01639
eco:b3226	K22104
eco:b3227	K03326
eco:b3228	K03600
eco:b3229	K03599
eco:b3230	K02996
eco:b3231	K02871
eco:b3232	K06916
eco:b3233	K09908
eco:b3234	K04772
eco:b3235	K04691
eco:b3236	K00024
eco:b3237	K03402
eco:b3239	K03623
eco:b3240	K03468
eco:b3241	K15548
eco:b3242	K21695
eco:b3243	K21698
eco:b3244	K03568
eco:b3247	K08301
eco:b3248	K06287
eco:b3249	K03571
eco:b3250	K03570
eco:b3251	K03569
eco:b3252	K18765
eco:b3253	K19745
eco:b3255	K02160
eco:b3256	K01961
eco:b3258	K14392
eco:b3259	K02687
eco:b3260	K05540
eco:b3261	K03557
eco:b3262	K07319
eco:b3264	K18140
eco:b3265	K18141
eco:b3266	K18142
eco:b3269	K09970
eco:b3270	K09971
eco:b3271	K09972
eco:b3272	K01985
eco:b3273	K14234
eco:b3274	K01985
eco:b3275	K01980
eco:b3276	K14218
eco:b3277	K14227
eco:b3278	K01977
eco:b3281	K00014
eco:b3282	K07566
eco:b3283	K07479
eco:b3284	K03747
eco:b3287	K01462
eco:b3288	K00604
eco:b3289	K03500
eco:b3290	K03499
eco:b3291	K03282
eco:b3292	K13638
eco:b3294	K02879
eco:b3295	K03040
eco:b3296	K02986
eco:b3297	K02948
eco:b3298	K02952
eco:b3299	K02919
eco:b3300	K03076
eco:b3301	K02876
eco:b3302	K02907
eco:b3303	K02988
eco:b3304	K02881
eco:b3305	K02933
eco:b3306	K02994
eco:b3307	K02954
eco:b3308	K02931
eco:b3309	K02895
eco:b3310	K02874
eco:b3311	K02961
eco:b3312	K02904
eco:b3313	K02878
eco:b3314	K02982
eco:b3315	K02890
eco:b3316	K02965
eco:b3317	K02886
eco:b3318	K02892
eco:b3319	K02926
eco:b3320	K02906
eco:b3321	K02946
eco:b3322	K02451
eco:b3323	K02450
eco:b3324	K02452
eco:b3325	K02453
eco:b3326	K02454
eco:b3327	K02455
eco:b3328	K02456
eco:b3329	K02457
eco:b3330	K02458
eco:b3331	K02459
eco:b3332	K02460
eco:b3333	K02461
eco:b3334	K02462
eco:b3335	K02464
eco:b3336	K03594
eco:b3337	K02192
eco:b3338	K13381
eco:b3339	K02358
eco:b3340	K02355
eco:b3341	K02992
eco:b3342	K02950
eco:b3343	K07237
eco:b3344	K07236
eco:b3345	K07235
eco:b3347	K03772
eco:b3348	K03745
eco:b3349	K03775
eco:b3350	K11747
eco:b3351	K11748
eco:b3352	K06158
eco:b3353	K07019
eco:b3354	K09898
eco:b3355	K00855
eco:b3356	K07397
eco:b3357	K10914
eco:b3359	K00821
eco:b3360	K01664
eco:b3361	K04095
eco:b3363	K03767
eco:b3364	K06141
eco:b3365	K00362
eco:b3366	K00363
eco:b3367	K02598
eco:b3368	K02302
eco:b3370	K19540
eco:b3371	K10708
eco:b3374	K10710
eco:b3375	K10711
eco:b3379	K07048
eco:b3380	K01839
eco:b3384	K01867
eco:b3385	K01091
eco:b3386	K01783
eco:b3387	K06223
eco:b3388	K03112
eco:b3389	K01735
eco:b3390	K00891
eco:b3391	K02507
eco:b3392	K12291
eco:b3393	K12290
eco:b3394	K12289
eco:b3395	K12288
eco:b3396	K05366
eco:b3397	K08312
eco:b3399	K20881
eco:b3400	K04762
eco:b3401	K04083
eco:b3403	K01610
eco:b3404	K07638
eco:b3405	K07659
eco:b3406	K04760
eco:b3407	K06959
eco:b3408	K04758
eco:b3409	K04759
eco:b3410	K07490
eco:b3411	K01157
eco:b3412	K02170
eco:b3414	K07400
eco:b3415	K06155
eco:b3416	K00705
eco:b3417	K00688
eco:b3418	K03556
eco:b3421	K14415
eco:b3422	K14414
eco:b3424	K02441
eco:b3425	K02439
eco:b3426	K00111
eco:b3428	K00688
eco:b3429	K00703
eco:b3430	K00975
eco:b3431	K02438
eco:b3432	K00700
eco:b3433	K00133
eco:b3437	K00851
eco:b3438	K06145
eco:b3439	K06911
eco:b3441	K03825
eco:b3442	K06887
eco:b3445	K07480
eco:b3447	K00681
eco:b3449	K01126
eco:b3450	K05816
eco:b3451	K05815
eco:b3452	K05814
eco:b3453	K05813
eco:b3454	K01996
eco:b3455	K01995
eco:b3456	K01998
eco:b3457	K01997
eco:b3458	K01999
eco:b3460	K01999
eco:b3461	K03089
eco:b3462	K09811
eco:b3463	K09812
eco:b3464	K03110
eco:b3465	K08316
eco:b3466	K08993
eco:b3469	K01534
eco:b3470	K04085
eco:b3471	K09125
eco:b3475	K06133
eco:b3476	K15584
eco:b3477	K15585
eco:b3478	K15586
eco:b3479	K15587
eco:b3480	K10824
eco:b3481	K07722
eco:b3485	K01992
eco:b3486	K13926
eco:b3487	K01993
eco:b3493	K16322
eco:b3494	K06144
eco:b3495	K06149
eco:b3496	K03305
eco:b3497	K15984
eco:b3498	K01414
eco:b3499	K07115
eco:b3500	K00383
